,EC→TDS,TDS→Chloride,TDS→Sodium,Chloride→EC
R² Score,0.9485112046895818,0.8431423737950777,0.9019209913083759,0.9529191351503986
Adjusted R²,0.9485081632343683,0.8431331081783133,0.9019151977583321,0.9529163540726711
RMSE,52.01222401287389,25.342648886756535,15.689493891160765,78.37032742724588
MAE,24.011301878379957,14.218036415930857,7.220170008191367,38.453474726561886
MAPE,0.18061277012046967,17513290116015.18,0.46616537129054114,0.28860802880019176
Max Error,1240.7083867761194,561.7661181066221,803.7157854606022,1958.2522971935107
Explained Variance,0.9485114016767417,0.8431423892427009,0.9019209974438491,0.9529192132645664
Residual Standard Error,52.0121245179252,25.342647638861514,15.689493400421354,78.37026241319545
Mean Bias Error,-0.1017344446054985,-0.007952982400659041,0.003924143965944139,0.10094721696204462
Residual Skewness,6.126691314834733,1.1756942229897343,13.405566868733812,-4.567421735299648
Residual Kurtosis,136.6829620576936,51.66813720840269,561.8611298865725,116.36188106030194
