,pH,Total Dissolved Solids (mg/L),Temperature,Turbidity (NTU),Chloride (mg/L),Electrical Conductivity (µS/cm) at 25°C),Fluoride (mg/L),Sodium (mg/L)
mean,7.866022089658023,245.97876439666882,23.731050144704977,32.98941822692103,39.217902663752874,402.21085641722283,0.3052278660445337,31.976214045242457
median,7.91,180.5,25.0,9.31,18.52,302.0,0.26,14.46
skewness,-0.6259579927314186,2.7624353157026724,-0.8777852096604504,5.86648442514914,4.5508653514682775,2.772820896723258,3.5029911435205614,4.409516549995132
