,pH,pH,Total Dissolved Solids (mg/L),Total Dissolved Solids (mg/L),Temperature,Temperature,Turbidity (NTU),Turbidity (NTU),Chloride (mg/L),Chloride (mg/L),Electrical Conductivity (µS/cm) at 25°C),Electrical Conductivity (µS/cm) at 25°C),Fluoride (mg/L),Fluoride (mg/L),Sodium (mg/L),Sodium (mg/L)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
District Name,,,,,,,,,,,,,,,,
Baksa,7.819230769230769,0.5487244673914753,126.37008547008547,43.61906468853931,25.794017094017097,3.7399126533754354,83.19888888888889,121.65081875922279,5.021367521367521,1.9750639038037376,198.36752136752136,67.32501434633677,0.11162393162393162,0.07146203796853245,7.021709401709401,3.3707796833144297
Balaghat,7.918000000000001,0.434881714105293,161.345,35.800595040629666,18.65,4.987088592714085,11.838,29.01957299551641,10.4945,3.215879146393802,302.805,65.35559795618524,0.23399999999999999,0.06492100462951313,16.222,4.98713460605861
Ballia,8.059393939393939,0.29524893688535947,185.84848484848484,47.15612120287001,25.966666666666665,5.188784749773994,13.287878787878787,4.898241918563628,10.35651515151515,4.903675385298489,336.2121212121212,83.08485285473382,0.14303030303030304,0.05632241518449339,7.992424242424242,3.434454860160516
Balod,8.103538461538461,0.30876483147186,167.40153846153848,54.2700178859944,24.70769230769231,3.5705964003015165,11.60723076923077,29.882632942673215,30.537538461538464,20.981561624939975,323.46923076923076,92.45560915088677,0.34353846153846157,0.10828825492104928,34.933076923076925,33.64871129233058
Balrampur,8.12625,0.14380873541253503,199.796875,44.935643464530784,25.0,5.726574088724496,13.953125,4.958333333333333,9.55375,2.326626756377581,361.24078125,92.01758783411204,0.119375,0.05175875050625021,7.605,2.2202416570889345
Banda,8.132833333333334,0.2513697503925826,215.7,57.924936815543816,25.503333333333334,5.000981824506018,16.466666666666665,26.101799838368617,19.508,23.56991106891602,321.3,81.51807535859454,0.39649999999999996,0.17319358229782233,26.327,14.485559413616851
Banka,8.22304347826087,0.26801347969167977,152.95652173913044,38.081823701638655,21.26086956521739,3.5830077677883416,31.108695652173914,22.931695275782467,17.55304347826087,11.723954279703124,237.0,58.16199946544292,0.4830434782608695,0.18141952342088455,22.96782608695652,13.069998593768354
Barabanki,8.025909090909092,0.2665273966159072,162.9848484848485,36.53722755860105,24.477272727272727,5.0290477904193445,11.666666666666666,5.622299921763014,9.357878787878787,2.994855340105513,292.030303030303,59.634520126148345,0.13348484848484848,0.056090378284787294,6.566666666666666,2.24385199932433
Bareilly,7.909591836734694,0.28024135519902954,335.3826530612245,222.48713360690655,24.636224489795918,5.841949449005058,17.483979591836736,20.949711373805016,38.824285714285715,38.22499320655302,593.6504081632653,350.6678668364518,0.21346938775510205,0.09002110340406173,27.68418367346939,28.203858707575108
Barpeta,7.787235294117647,0.5842286199800202,144.39176470588234,62.84440768078767,26.257823529411763,3.715518786163066,78.03594117647059,106.7877818537821,5.169411764705882,1.9977205074525008,222.23,97.37755099544157,0.09523529411764707,0.04025367697823408,6.794823529411764,2.664894998548582
Bastar,7.812307692307693,0.3072500026079154,121.61538461538461,54.68628478503311,24.076923076923077,2.956956161932359,45.638461538461534,65.54553809453824,10.569230769230769,2.6670347502374923,156.9,64.66361676656615,0.12461538461538463,0.027268841992093163,8.529230769230768,2.02773873045182
Basti,7.916134969325153,0.22781659602390414,256.70552147239266,82.88709653374455,25.901226993865027,4.747799850821893,15.006134969325153,4.227331605184215,20.178220858895706,6.30370104106451,467.7306748466258,143.40971665484614,0.2660122699386503,0.0763482912507827,17.911656441717792,6.624183086256862
Bemetara,8.184237288135593,0.24237476958307758,296.10169491525426,121.68112013405255,25.208474576271186,4.300733222795021,93.67305084745763,177.39552956943845,21.566610169491526,12.08968135260318,573.4033898305086,224.67345189921954,0.3137288135593221,0.08860797631031568,53.59186440677966,36.52653756468105
Bhagalpur,8.322702702702703,0.3861465514013556,225.67567567567568,58.97506726200962,26.032432432432433,4.744649270145972,28.029729729729727,59.80439813288013,27.662432432432432,14.597516989277741,344.2972972972973,80.57703865965264,0.2602702702702703,0.06439834739453448,24.852162162162163,12.338769778208832
Bhandara,8.268666666666666,0.4060940543179387,179.16466666666665,35.68752300307823,20.266666666666666,7.601378321130476,2.7646666666666664,4.04751222828236,17.668666666666663,6.9109549336714755,338.94666666666666,62.67920441954147,0.31653333333333333,0.10233130136031321,19.123333333333335,3.1176357036947695
Bhavnagar,7.993636363636364,0.4874964757337365,925.9090909090909,644.1575457315887,27.018181818181816,1.0581368907913948,101.68181818181819,214.7746075182819,325.14090909090913,253.0284023377818,1492.3181818181818,1023.7353818417298,0.5268181818181819,0.21924950700137577,223.0359090909091,170.12744963868343
Bhilwara,8.071666666666667,0.49330051925661983,405.76666666666665,94.06369204384623,19.98,6.177400412962476,24.012666666666668,87.86747756327897,73.824,28.748706429669326,643.9966666666667,149.34661947003164,0.3956666666666667,0.10152911365485386,51.358333333333334,21.353356206094812
Bhind,8.36111111111111,0.5490460566537605,304.0740740740741,129.0415834471991,23.36111111111111,4.938429078260242,61.851851851851855,124.81358286742692,44.10296296296296,28.24777530927224,447.1151851851852,206.88283312186897,0.2959259259259259,0.10848038721125514,40.910555555555554,23.150844673996165
Bidar,8.179166666666667,0.16511474430794698,388.75,70.88803591836663,24.625,1.5685111643616922,8.825000000000001,3.3839527720753377,48.75666666666667,9.37691491554303,556.5,53.4015662010701,0.2841666666666667,0.042949935619241264,37.3775,7.1722712581162185
Bijapur,7.822727272727272,0.35916823103083373,131.0,114.44998907819956,23.099999999999998,5.964059020499378,41.53636363636363,62.14296859222727,14.976363636363637,13.157314522901148,169.06363636363636,127.63346169972255,0.0990909090909091,0.03832872172524032,9.350909090909092,6.753078489911775
Bijnor,7.938931297709924,0.2980352377421089,156.21374045801528,67.55795319958071,22.917557251908395,4.575965319193999,16.374045801526716,6.209590445881143,11.660381679389312,5.440968862334405,282.9236641221374,101.3951613411311,0.1866412213740458,0.09527781796105458,8.941221374045801,4.834648507293792
Bilaspur,7.940961538461539,0.5259712825057951,258.05961538461537,165.83017975394597,26.109230769230766,4.1978473276099715,38.9195,80.83671578831091,42.72507692307693,36.83335001010678,500.1926923076923,317.4068899809759,0.3159230769230769,0.10467966324855987,49.743153846153845,50.34964489044586
Birbhum,8.04,,103.04,,20.0,,37.2,,11.59,,184.0,,0.41,,10.2,
Biswanath,7.792692307692307,0.5219927792014577,111.89230769230768,30.63885014914134,25.93846153846154,3.114620609072883,111.87807692307692,188.6794257362308,6.107692307692308,3.681920485499172,170.30423076923077,47.376427739801315,0.11038461538461539,0.04591128569149588,5.894615384615384,2.115777362142304
Bongaigaon,7.908190476190477,0.6294637231442165,187.31047619047618,80.52903671706719,26.725714285714282,3.5926749347544904,90.752,130.6849886794725,5.8969523809523805,5.441860916827555,288.95714285714286,121.71734031791007,0.09028571428571429,0.07025307470491597,10.439428571428572,47.07832188999542
Budaun,8.008235294117647,0.20696052818900157,137.27941176470588,36.802760112355976,23.705882352941178,5.024206549161686,14.647058823529411,5.70353309167497,10.852941176470589,4.364172335688936,249.55882352941177,62.672658789852605,0.19014705882352942,0.06006197413912586,7.98235294117647,3.885101323193999
Buxar,8.364054054054055,0.3925802073706964,294.56756756756755,84.6330446826312,25.732432432432432,5.289510272125287,15.597297297297297,22.23813649375133,39.74351351351351,22.01525282064135,458.72972972972974,131.4364334423148,0.3332432432432432,0.08000187685486072,36.9627027027027,20.138782188802978
Cachar,7.297058823529412,0.6696297395097478,74.90420168067227,38.05723921637695,27.04873949579832,2.6020156966858865,93.68739495798319,110.39054749098602,6.10436974789916,2.005201134784604,114.89075630252101,57.852991648172335,0.09100840336134454,0.10022073061018517,6.345294117647059,2.572244888943103
Chamarajanagar,8.22808,0.25992770707107454,341.416,145.95360420573775,24.86304,2.5975013502433697,15.07392,22.390094832457763,47.95344,45.37707206864036,555.8016,237.82250530527477,0.316224,0.250610540416284,54.05608,75.3671221304048
Chamoli,7.770612244897959,0.3182160853286944,94.52448979591837,21.01332003299748,14.881632653061226,3.602872477686266,0.4301020408163265,0.9040498742034858,4.291836734693878,1.027720274569088,181.96551020408162,33.14679313444717,0.2655102040816327,0.11474869402917502,2.5714285714285716,0.6564038234055642
Chandrapur,8.353636363636364,0.21698245385603232,305.3681818181818,79.18556498061182,22.55,3.5873786689288494,9.393636363636363,11.046719636100788,34.92636363636364,9.926921810076708,546.0227272727273,101.15617784405121,0.41363636363636364,0.09235260867460283,32.70454545454545,13.245764004739932
Changlang,7.76,0.29664793948382634,115.05999999999999,45.780650934647056,22.46,2.813894098931229,22.8,32.30634612580011,1.1800000000000002,0.5357238094391549,171.6,68.28835918368517,0.244,0.21030929603800208,6.22,5.947856756849478
Chengalpattu,8.363043478260868,0.19169268884472784,598.145652173913,135.25822826730226,28.608695652173914,1.9029598100452234,47.67391304347826,40.57588465405206,180.5336956521739,58.71614819938362,992.1521739130435,224.6785325641261,0.7580434782608695,0.3439807460065001,124.49782608695651,37.129918988034035
Chhindwara,8.273333333333333,0.13526629179869498,291.59999999999997,108.58632929190907,20.75,1.4222261679238193,1.5775,1.7811034628719764,19.669999999999998,7.842190092987126,474.175,95.56246053569554,0.32416666666666666,0.03396745322787505,19.981666666666666,8.241934716969547
Chirang,7.780263157894738,0.5385139052740813,177.4157894736842,64.6042025505905,27.060526315789474,3.068192484331841,58.11973684210527,110.64214251327962,5.1615789473684215,2.107105772580509,277.635,98.80357039587675,0.08552631578947369,0.03090503050288202,6.006052631578947,0.7555972739484262
Chitradurga,8.367894736842105,0.1726132139710833,400.0,129.7540408276795,25.026315789473685,0.4240572619393625,18.81578947368421,39.871302032050494,66.42473684210526,26.8822093934138,673.7894736842105,160.3286828665027,0.23421052631578948,0.07603477197774453,88.50368421052632,34.47027756883478
Chitrakoot,8.019558823529412,0.3495345895958917,447.2352941176471,144.220510852855,25.81441176470588,5.6368911147776775,37.5735294117647,62.654541157491856,78.95867647058823,35.650337165490726,691.0882352941177,224.21582987601164,0.3760294117647059,0.11341562326085773,75.93191176470589,36.34072655765659
Coimbatore,7.6946078431372555,0.1778233162975666,121.93029411764705,66.25247464768647,22.852941176470587,2.517845451825389,15.202941176470588,35.37577471672369,24.654705882352943,12.318167112105085,211.72039215686274,109.78293031233733,0.1991176470588235,0.2059900167780726,17.17843137254902,9.648409579616512
Cuddalore,8.324444444444445,0.2633966168685121,390.4222222222222,97.41049452930851,24.0,0.0,56.888888888888886,63.80917732670678,79.50111111111111,23.714948052043272,649.8888888888889,161.91004018006763,0.48888888888888893,0.1184740946836527,62.099999999999994,20.081957075942576
Damoh,7.983548387096774,0.1687512644317419,149.0,48.98094867735142,27.690322580645162,5.559577612175806,40.87096774193548,55.80247421962808,11.431935483870967,4.47688539005623,220.67741935483872,79.75812898874287,0.20032258064516129,0.12980713567873794,12.361935483870969,7.925115527803508
Darbhanga,7.945675675675676,0.288776798430967,287.9062162162162,233.47223124371013,24.216216216216218,5.947352971785633,28.298198198198197,50.99207778394599,34.104954954954955,38.08210691444746,455.47747747747746,364.47044641000224,0.3635135135135135,0.15423505466803614,44.38873873873874,44.261282508574574
Datia,8.151333333333334,0.21820117188601257,268.18333333333334,69.91920074463354,24.341666666666665,5.52842551732091,16.283333333333335,54.571083069191786,30.186833333333333,12.684880696200343,399.46666666666664,102.80233900040797,0.5489999999999999,0.16678109066494862,38.26833333333333,14.026987688588711
Dehradun,7.836300578034683,0.4489442195746792,95.38514450867052,51.18076234608939,14.402803468208091,4.557543891251467,36.62413294797688,113.65586140307514,7.328815028901734,13.397246008816841,162.92236994219653,80.98812993105479,0.2465606936416185,0.18133008755700336,4.622745664739885,3.606401430796857
Dharmapuri,8.344687500000001,0.26326712026552646,295.32,59.6257422216602,28.15625,1.9026191624755995,6.528125,5.548974585598037,60.00125,18.769155505432227,511.65,93.41002225706036,0.4578125,0.08921645931611065,45.0875,13.829112583195991
